3,4
5,1
4,3
4,5
4,17
1,2
1,10
5,4
11,4
15,4
15,17
11,4
20,4
20,50
22,23
22,24
5,3
4,3
4,28
4,22
31,38
33,4
29,4
4,11
4,51
11,58
50,13
53,11
57,13
11,94
4,70
4,73
4,73
4,66
11,94
19,22
4,71
71,13
4,88
4,71
90,4
90,175
96,4
4,22
97,4
4,11
4,110
4,22
4,11
4,11
75,30
66,22
111,4
110,70
110,4
50,4
111,94
4,126
4,123
4,10
3,117
3,22
3,71
3,22
22,133
133,22
17,4
134,4
33,133
126,22
126,134
4,88
39,4
39,175
39,72
144,72
22,72
26,4
29,5
150,22
4,42
4,153
138,22
11,22
153,125
153,527
154,5
154,49
126,39
4,161
125,4
5,22
94,15
133,162
4,29
4,126
126,298
22,198
137,22
137,283
182,154
182,22
182,320
80,4
108,144
188,22
188,39
188,144
187,175
4,324
4,283
175,11
5,1
94,188
94,196
144,153
19,134
146,4
50,78
188,305
188,444
188,202
188,72
188,134
153,167
231,72
290,133
290,94
341,167
341,22
207,167
11,133
201,22
192,530
192,531
290,133
290,4
290,133
108,149
1,22
113,4
176,4
228,22
360,111
174,22
334,72
334,4
29,15
134,22
357,286
259,527
158,281
394,134
394,477
394,11
449,111
110,134
401,521
4,26
365,527
4,395
438,78
68,553
68,527
518,527
133,570
26,520
520,164
46,39
134,90
366,4
68,22
176,134
90,22
188,22
290,660
4,381
564,527
420,26
68,621
68,149
68,133
68,66
387,111
387,458
3,318
4,557
66,656
22,659
355,22
290,461
387,403
387,66
188,127
48,66
15,660
68,127
387,564
162,923
133,811
94,768
216,768
127,792
4,26
68,859
68,848
178,4
753,558
127,133
127,4
127,4
111,864
15,66
4,817
366,429
366,66
564,864
803,862
290,850
856,660
125,920
15,111
33,656
482,4
449,154
258,660
258,783
876,429
881,1
33,22
113,905
753,920
113,903
111,4
425,111
4,888
113,903
4,482
425,660
4,66
365,973
111,846
111,999
783,973
4,971
979,393
19,1002
482,982
425,527
4,923
393,22
680,4
22,133
876,4
1,881
1,881
1,881
1,881
4,660
982,482
188,527
188,1045
188,4
188,482
956,1001
947,4
955,4
1001,887
1002,527
564,783
500,527
1026,1079
1026,482
955,4
1042,1138
1045,1020
1045,482
4,527
4,660
482,982
4,482
1026,4
1026,425
1026,1045
1056,4
279,111
111,425
1063,794
680,1125
680,4
1091,4
15,1066
15,482
15,1045
279,111
955,1121
570,4
1147,4
4,1118
111,1202
4,196
794,1091
4,1230
1026,1202
982,1026
22,1277
3,4
125,1045
125,1230
66,1020
982,1230
111,875
80,1249
80,1249
80,1249
1230,680
1230,125
15,1230
33,111
1020,1329
4,11
1251,887
1250,4
392,1230
1063,4
1063,656
955,473
66,1063
1158,1167
283,1020
1277,1322
1277,4
1278,1158
4,1140
125,875
1045,527
1045,656
1045,1118
3,1173
3,1173
3,1173
3,1173
3,1173
3,1173
1293,4
1026,887
1167,1275
1167,1020
4,88
4,1322
1290,66
482,982
1293,887
656,66
113,4
376,610
1308,4
1283,1275
783,610
4,29
4,610
4,164
4,1329
850,1026
290,887
1213,610
33,1322
157,4
1278,1275
30,4
4,955
1342,1026
190,30
179,4
179,610
1020,1299
1020,887
4,1118
4,1045
1118,1119
1118,527
1066,1020
1,881
1361,955
1244,1375
881,1
1026,1230
4,858
1299,1275
1,881
1,881
1118,1473
97,1369
97,111
3,1173
1369,4
1173,3
1173,3
4,1066
1166,1468
4,887
1467,949
1118,1477
1118,1475
1443,955
955,1479
955,1530
1468,1369
1468,520
1468,66
1369,520
520,1482
520,1166
1486,4
1488,955
1519,1521
1530,1640
1553,1554
97,887
591,660
1066,97
1628,1551
1619,97
1645,97
1657,955
1619,955
955,1481
1679,1230
1679,215
4,430
4,1616
1118,1632
1693,1622
1693,1622
1202,1737
1202,887
1710,4
887,1689
1727,955
4,66
1730,1645
955,1739
1747,4
1751,1118
1118,1873
1119,1118
1275,1369
482,1793
4,95
95,1875
95,1173
1803,4
1805,1643
1805,1118
1805,4
1805,610
1794,1369
1818,4
1066,1787
4,891
1824,185
876,1868
1831,1504
1831,4
1831,429
1645,4
1831,1881
1857,1504
1858,1875
1859,1643
702,1504
702,62
1880,1885
1880,1875
1883,1868
1885,1880
1901,564
1747,1198
337,1868
1118,1509
1118,1119
1706,999
1706,1479
1948,1868
1951,196
1706,1509
1903,1938
1200,1787
1947,1868
904,1020
1972,1905
1972,2079
660,429
4,1911
1527,2007
1856,1118
680,1996
680,4
2017,1996
1911,1671
80,1509
80,1671
1230,1671
2036,1020
2038,2046
1925,1
1787,1911
1923,80
2038,1946
2038,2062
1618,1948
2062,2046
4,1140
1958,1948
482,982
482,2038
2000,1868
1923,887
1706,4
2095,4
2095,2038
2092,4
2092,1948
1535,610
1923,2079
1923,2181
1410,1911
1947,1948
661,2079
661,1911
982,2038
2122,4
2122,1509
610,1925
610,2181
1923,1410
133,2201
133,1948
2135,1948
2149,2079
2166,4
1029,1485
1948,2059
4,393
2181,1948
393,1671
1972,73
1410,2122
106,1485
1202,2170
143,4
858,125
1148,97
55,482
1618,581
904,1029
1,42
4,1509
4,11
1878,1883
2197,2202
661,2122
4,187
1925,2229
4,1
4,2230
4,1733
2217,2219
592,1592
753,2122
656,376
1911,1369
1485,904
113,2226
73,578
66,2207
4,1805
1,42
97,1509
1751,1118
1410,11
1410,1591
2066,2292
